Pada, Artha1, Parva, Sandhi_no, Padya1
ಅಗ್ಗ, ಅಧಿಕ ಸಾಮಥ್ರ್ಯ, ಆದಿ ಪರ್ವ,8,34
ಅಗ್ಗಡಲು, ರಕ್ತ ಸಮುದ್ರ (ತ.ಸು.ಶಾಮರಾಯರ ನಿಘಂಟು) ಅಗಣಿತ, ವಿರಾಟ ಪರ್ವ,8,69
ಅಗ್ಗಡಲು, ರಕ್ತಸಾಗರ, ಭೀಷ್ಮ ಪರ್ವ,8,46
ಅಗ್ಗದ, ಶ್ರೇಷ್ಠನಾದ, ದ್ರೋಣ ಪರ್ವ,7,26
ಅಗ್ಗದ, ಶ್ರೇಷ್ಠವಾದ, ಗದಾ ಪರ್ವ,4,37
ಅಗ್ಗಳಿಕೆ, ಶ್ರೇಷ್ಠತೆ, ವಿರಾಟ ಪರ್ವ,7,5
ಅಗ್ಗಳಿಕೆ, ಅತಿಶಯ , ಆದಿ ಪರ್ವ,1,15, , , A4CBCBB6EDB8C9BD, , , , , , , , , , 
ಅಗ್ಗಳಿಕೆ, ಗೌರವ, ಆದಿ ಪರ್ವ,10,39
ಅಗ್ಗಳಿಸು, ವೃದ್ಧಿಸು, ಭೀಷ್ಮ ಪರ್ವ,3,45
ಅಗ್ಗಳೆ, ಶ್ರೇಷ್ಠರು, ಭೀಷ್ಮ ಪರ್ವ,6,30
ಅಗ್ಗಳೆಯ, ಶ್ರೇಷ್ಠನಾದ, ಗದಾ ಪರ್ವ,10,8
ಅಗ್ಗಳೆಯ, ಅತಿಶಯವಾದ, ಸಭಾ ಪರ್ವ,11,24
ಅಗ್ಗಳೆಯತನ, ಶ್ರೇಷ್ಠನೆಂಬ ಭಾವನೆ, ಗದಾ ಪರ್ವ,5,52
ಅಗ್ಗಳೆಯರು, ಬಿರುದಾಂಕಿತ ವೀರರು, ಭೀಷ್ಮ ಪರ್ವ,8,33
ಅಗ್ಗಳೆಯರು, ಅಗ್ರಮಾನ್ಯರು, ಗದಾ ಪರ್ವ,3,4, , , A4CBCBB6EDBDE3B6E5BA, , , , , , , , , , 
ಅಗ್ಗಿತು, ಹಾಳಾಗಲಿ !, ಭೀಷ್ಮ ಪರ್ವ,1,58
ಅಗ್ಗಿಸು, ಶ್ರೇಷ್ಠನಾಗಿ ಮಾಡು, ಕರ್ಣ ಪರ್ವ,13,20
ಅಗ್ಗಿಸು, ಹಾಳುಮಾಡು, ಕರ್ಣ ಪರ್ವ,19,40
ಅಗ್ಗು, ಅಳ್ಗು , ಗದಾ ಪರ್ವ,3,23
ಅಗ್ನಿಯ ಪದತ್ರಯಕರಗಿ, ಅಗ್ನಿಯ ಮೂರು ಪಾದಗಳಿಗೆ ವಂದಿಸಿ, ಸಭಾ ಪರ್ವ,5,15
ಅಗ್ನಿಸಾಕ್ಷಿಕ, ಅಗ್ನಿಯ ಸಾಕ್ಷಿಯಲ್ಲಿ ಪ್ರಮಾಣ ಮಾಡಿ ಭಾಷೆ ಕೊಡುವುದು, ಗದಾ ಪರ್ವ,2,21
ಅಗ್ನಿಹೋತ್ರ, ಬೆಳಿಗ್ಗೆ ಸಂಜೆ  ಅಗ್ನಿಯ ಎದುರಿಗೆ ಮಾಡುವ ಹೋಮ, ಅರಣ್ಯ ಪರ್ವ,14,46
ಅಗ್ರಜಾನುಜರು, ಅಣ್ಣತಮ್ಮಂದಿರು, ಆದಿ ಪರ್ವ,19,50
ಅಗ್ರಜೆ, ಅಗ್ರ (ತನಗಿಂತ ಮುಂಚೆ) ಜೆ, ವಿರಾಟ ಪರ್ವ,2,13
ಅಗ್ರಣಿ, ಮುಂದಾಳು, ಉದ್ಯೋಗ ಪರ್ವ,8,60
ಅಗ್ರಹಾರ, ಬ್ರಾಹ್ಮಣರ ಕೇರಿ, ಆದಿ ಪರ್ವ,10,0
ಅಘತಿತ, ಅಸಂಭವ, ಉದ್ಯೋಗ ಪರ್ವ,1,26
ಅಘಾಟ, ಅತಿಶಯವಾದ, ಗದಾ ಪರ್ವ,5,50
ಅಚ್ಚಳಿಸು, ಪ್ರಕಾಶಿಸು, ಗದಾ ಪರ್ವ,1,11
ಅಚ್ಚಾಳು, ನೆಚ್ಚಿನ ವೀರ, ಕರ್ಣ ಪರ್ವ,19,27
ಅಚ್ಚಾಳು, ಧೈರ್ಯಶಾಲಿ, ಭೀಷ್ಮ ಪರ್ವ,8,28
ಅಚ್ಯುತ, ಚ್ಯುತಿ ಇಲ್ಲದ (ವಿಷ್ಣು), ಉದ್ಯೋಗ ಪರ್ವ,4,25
ಅಜಿಗಿಜಿ, ನುಜ್ಜುಗುಜ್ಜು., ಗದಾ ಪರ್ವ,7,35
ಅಜಿತಸಾಹಸ, ಸೋಲಿಲ್ಲದ ಸಾಹಸಿ, ಗದಾ ಪರ್ವ,9,33
ಅಜೇಯ, ಜಯಿಸಲಾಗದವರು, ದ್ರೋಣ ಪರ್ವ,1,16
